Name,Club,Age,International Reputation,Nationality
L. Messi,FC Barcelona,31,5.0,Argentina
Cristiano Ronaldo,Juventus,33,5.0,Portugal
Neymar Jr,Paris Saint-Germain,26,5.0,Brazil
De Gea,Manchester United,27,4.0,Spain
K. De Bruyne,Manchester City,27,4.0,Belgium
E. Hazard,Chelsea,27,4.0,Belgium
L. Modrić,Real Madrid,32,4.0,Croatia
L. Suárez,FC Barcelona,31,5.0,Uruguay
Sergio Ramos,Real Madrid,32,4.0,Spain
J. Oblak,Atlético Madrid,25,3.0,Slovenia
R. Lewandowski,FC Bayern München,29,4.0,Poland
T. Kroos,Real Madrid,28,4.0,Germany
D. Godín,Atlético Madrid,32,3.0,Uruguay
David Silva,Manchester City,32,4.0,Spain
N. Kanté,Chelsea,27,3.0,France
P. Dybala,Juventus,24,3.0,Argentina
H. Kane,Tottenham Hotspur,24,3.0,England
A. Griezmann,Atlético Madrid,27,4.0,France
M. ter Stegen,FC Barcelona,26,3.0,Germany
T. Courtois,Real Madrid,26,4.0,Belgium
Sergio Busquets,FC Barcelona,29,4.0,Spain
E. Cavani,Paris Saint-Germain,31,4.0,Uruguay
M. Neuer,FC Bayern München,32,5.0,Germany
S. Agüero,Manchester City,30,4.0,Argentina
G. Chiellini,Juventus,33,4.0,Italy
K. Mbappé,Paris Saint-Germain,19,3.0,France
M. Salah,Liverpool,26,3.0,Egypt
Casemiro,Real Madrid,26,3.0,Brazil
J. Rodríguez,FC Bayern München,26,4.0,Colombia
L. Insigne,Napoli,27,3.0,Italy
Isco,Real Madrid,26,3.0,Spain
C. Eriksen,Tottenham Hotspur,26,3.0,Denmark
Coutinho,FC Barcelona,26,3.0,Brazil
P. Aubameyang,Arsenal,29,3.0,Gabon
M. Hummels,FC Bayern München,29,4.0,Germany
Marcelo,Real Madrid,30,4.0,Brazil
G. Bale,Real Madrid,28,4.0,Wales
H. Lloris,Tottenham Hotspur,31,4.0,France
G. Higuaín,Milan,30,4.0,Argentina
Thiago Silva,Paris Saint-Germain,33,4.0,Brazil
S. Handanovič,Inter,33,3.0,Slovenia
G. Buffon,Paris Saint-Germain,40,4.0,Italy
S. Umtiti,FC Barcelona,24,3.0,France
M. Icardi,Inter,25,3.0,Argentina
K. Koulibaly,Napoli,27,3.0,Senegal
P. Pogba,Manchester United,25,4.0,France
K. Navas,Real Madrid,31,3.0,Costa Rica
R. Lukaku,Manchester United,25,3.0,Belgium
C. Immobile,Lazio,28,3.0,Italy
Jordi Alba,FC Barcelona,29,3.0,Spain
D. Mertens,Napoli,31,3.0,Belgium
J. Vertonghen,Tottenham Hotspur,31,3.0,Belgium
M. Hamšík,Napoli,30,3.0,Slovakia
I. Rakitić,FC Barcelona,30,4.0,Croatia
Piqué,FC Barcelona,31,4.0,Spain
L. Sané,Manchester City,22,2.0,Germany
Bernardo Silva,Manchester City,23,2.0,Portugal
Ederson,Manchester City,24,2.0,Brazil
S. Mané,Liverpool,26,3.0,Senegal
V. van Dijk,Liverpool,26,3.0,Netherlands
R. Sterling,Manchester City,23,3.0,England
Roberto Firmino,Liverpool,26,3.0,Brazil
R. Varane,Real Madrid,25,3.0,France
M. Verratti,Paris Saint-Germain,25,3.0,Italy
Alex Sandro,Juventus,27,3.0,Brazil
Douglas Costa,Juventus,27,3.0,Brazil
T. Müller,FC Bayern München,28,4.0,Germany
Thiago,FC Bayern München,27,3.0,Spain
M. Reus,Borussia Dortmund,29,4.0,Germany
Azpilicueta,Chelsea,28,3.0,Spain
L. Bonucci,Juventus,31,3.0,Italy
T. Alderweireld,Tottenham Hotspur,29,3.0,Belgium
M. Pjanić,Juventus,28,3.0,Bosnia Herzegovina
M. Benatia,Juventus,31,3.0,Morocco
M. Özil,Arsenal,29,4.0,Germany
Fernandinho,Manchester City,33,3.0,Brazil
Iniesta,Vissel Kobe,34,4.0,Spain
M. Škriniar,Inter,23,1.0,Slovakia
S. Milinković-Savić,Lazio,23,2.0,Serbia
Marco Asensio,Real Madrid,22,3.0,Spain
N. Fekir,Olympique Lyonnais,24,3.0,France
Alisson,Liverpool,25,3.0,Brazil
J. Kimmich,FC Bayern München,23,3.0,Germany
Saúl,Atlético Madrid,23,3.0,Spain
R. Mahrez,Manchester City,27,3.0,Algeria
D. Alaba,FC Bayern München,26,4.0,Austria
Koke,Atlético Madrid,26,3.0,Spain
A. Lacazette,Arsenal,27,3.0,France
K. Manolas,Roma,27,3.0,Greece
N. Otamendi,Manchester City,30,3.0,Argentina
Parejo,Valencia CF,29,2.0,Spain
Paulinho,Guangzhou Evergrande Taobao FC,29,3.0,Brazil
W. Szczęsny,Juventus,28,3.0,Poland
A. Sánchez,Manchester United,29,4.0,Chile
Y. Brahimi,FC Porto,28,3.0,Algeria
J. Boateng,FC Bayern München,29,4.0,Germany
A. Vidal,FC Barcelona,31,4.0,Chile
I. Perišić,Inter,29,3.0,Croatia
E. Džeko,Roma,32,3.0,Bosnia Herzegovina
S. Khedira,Juventus,31,3.0,Germany
Diego Costa,Atlético Madrid,29,4.0,Spain
R. Nainggolan,Inter,30,3.0,Belgium
Naldo,FC Schalke 04,35,3.0,Brazil
B. Matuidi,Juventus,31,3.0,France
Miranda,Inter,33,3.0,Brazil
K. Benzema,Real Madrid,30,4.0,France
Filipe Luís,Atlético Madrid,32,3.0,Brazil
V. Kompany,Manchester City,32,4.0,Belgium
Pepe,Beşiktaş JK,35,4.0,Portugal
Z. Ibrahimović,LA Galaxy,36,5.0,Sweden
D. Sánchez,Tottenham Hotspur,22,2.0,Colombia
J. Giménez,Atlético Madrid,23,2.0,Uruguay
Alex Telles,FC Porto,25,3.0,Brazil
A. Laporte,Manchester City,24,2.0,France
Bruno Fernandes,Sporting CP,23,2.0,Portugal
N. Süle,FC Bayern München,22,2.0,Germany
A. Martial,Manchester United,22,3.0,France
D. Alli,Tottenham Hotspur,22,3.0,England
Fabinho,Liverpool,24,3.0,Brazil
Marquinhos,Paris Saint-Germain,24,3.0,Brazil
William Carvalho,Real Betis,26,3.0,Portugal
Jorginho,Chelsea,26,2.0,Italy
F. Thauvin,Olympique de Marseille,25,2.0,France
Carvajal,Real Madrid,26,3.0,Spain
M. Depay,Olympique Lyonnais,24,3.0,Netherlands
H. Son,Tottenham Hotspur,25,3.0,Korea Republic
A. Lopes,Olympique Lyonnais,27,2.0,Portugal
S. de Vrij,Inter,26,3.0,Netherlands
M. Perin,Juventus,25,2.0,Italy
J. Cuadrado,Juventus,30,3.0,Colombia
Iago Aspas,RC Celta,30,2.0,Spain
B. Leno,Arsenal,26,3.0,Germany
N. Matić,Manchester United,29,3.0,Serbia
L. Hrádecký,Bayer 04 Leverkusen,28,2.0,Finland
Illarramendi,Real Sociedad,28,2.0,Spain
K. Walker,Manchester City,28,3.0,England
I. Gündoğan,Manchester City,27,3.0,Germany
José Callejón,Napoli,31,3.0,Spain
A. Di María,Paris Saint-Germain,30,4.0,Argentina
M. Mandžukić,Juventus,32,3.0,Croatia
Willian,Chelsea,29,3.0,Brazil
Sergio Asenjo,Villarreal CF,29,2.0,Spain
E. Banega,Sevilla FC,30,3.0,Argentina
A. Witsel,Borussia Dortmund,29,3.0,Belgium
D. Payet,Olympique de Marseille,31,3.0,France
Jonas,SL Benfica,34,3.0,Brazil
Sokratis,Arsenal,30,3.0,Greece
S. Ruffier,AS Saint-Étienne,31,3.0,France
Falcao,AS Monaco,32,3.0,Colombia
K. Schmeichel,Leicester City,31,2.0,Denmark
Raúl Albiol,Napoli,32,3.0,Spain
A. Gómez,Atalanta,30,3.0,Argentina
A. Barzagli,Juventus,37,3.0,Italy
Quaresma,Beşiktaş JK,34,3.0,Portugal
A. Robben,FC Bayern München,34,4.0,Netherlands
O. Dembélé,FC Barcelona,21,3.0,France
Gabriel Jesus,Manchester City,21,2.0,Brazil
Ronaldo Cabrais,Grêmio,26,1.0,Brazil
Josué Chiamulera,Grêmio,26,1.0,Brazil
Louri Beretta,Atlético Mineiro,26,1.0,Brazil
P. Kimpembe,Paris Saint-Germain,22,2.0,France
N. Keïta,Liverpool,23,2.0,Guinea
C. Tolisso,FC Bayern München,23,2.0,France
T. Lemar,Atlético Madrid,22,3.0,France
K. Coman,FC Bayern München,22,2.0,France
J. Tah,Bayer 04 Leverkusen,22,2.0,Germany
Anderson Talisca,Guangzhou Evergrande Taobao FC,24,2.0,Brazil
T. Werner,RB Leipzig,22,3.0,Germany
A. Rabiot,Paris Saint-Germain,23,2.0,France
L. Goretzka,FC Bayern München,23,3.0,Germany
Q. Promes,Sevilla FC,26,2.0,Netherlands
H. Ziyech,Ajax,25,3.0,Morocco
Lucas Vázquez,Real Madrid,27,2.0,Spain
Y. Carrasco,Dalian YiFang FC,24,3.0,Belgium
Gerard Moreno,Villarreal CF,26,1.0,Spain
Felipe,FC Porto,29,3.0,Brazil
M. Kovačić,Chelsea,24,3.0,Croatia
Kepa,Chelsea,23,1.0,Spain
Manu Trigueros,Villarreal CF,26,2.0,Spain
S. Gnabry,FC Bayern München,22,2.0,Germany
J. Pickford,Everton,24,1.0,England
S. Savić,Atlético Madrid,27,2.0,Montenegro
J. Stones,Manchester City,24,2.0,England
Suso,Milan,24,3.0,Spain
J. Draxler,Paris Saint-Germain,24,3.0,Germany
Felipe Anderson,West Ham United,25,3.0,Brazil
Lucas Moura,Tottenham Hotspur,25,3.0,Brazil
Danilo Pereira,FC Porto,26,3.0,Portugal
Nacho Fernández,Real Madrid,28,2.0,Spain
T. Horn,1. FC Köln,25,2.0,Germany
Allan,Napoli,27,2.0,Brazil
F. Acerbi,Lazio,30,2.0,Italy
Sergi Roberto,FC Barcelona,26,3.0,Spain
Rodrigo,Valencia CF,27,2.0,Spain
Pizzi,SL Benfica,28,3.0,Portugal
K. Kampl,RB Leipzig,27,2.0,Slovenia
Neto,Valencia CF,28,2.0,Brazil
O. Baumann,TSG 1899 Hoffenheim,28,2.0,Germany
I. Gueye,Everton,28,2.0,Senegal
H. Mkhitaryan,Arsenal,29,3.0,Armenia
Marcos Alonso,Chelsea,27,2.0,Spain
D. Subašić,AS Monaco,33,3.0,Croatia
K. Glik,AS Monaco,30,3.0,Poland
K. Strootman,Olympique de Marseille,28,3.0,Netherlands
B. Dost,Sporting CP,29,3.0,Netherlands
Oscar,Shanghai SIPG FC,26,3.0,Brazil
M. Balotelli,OGC Nice,27,4.0,Italy
Luiz Gustavo,Olympique de Marseille,30,3.0,Brazil
Giuliano,Al Nassr,28,2.0,Brazil
David Luiz,Chelsea,31,4.0,Brazil
R. Fährmann,FC Schalke 04,29,2.0,Germany
Juan Mata,Manchester United,30,3.0,Spain
Adán,Atlético Madrid,31,2.0,Spain
Rui Patrício,Wolverhampton Wanderers,30,3.0,Portugal
Y. Sommer,Borussia Mönchengladbach,29,3.0,Switzerland
Javi Martínez,FC Bayern München,29,3.0,Spain
L. Bender,Bayer 04 Leverkusen,29,3.0,Germany
Lucas Leiva,Lazio,31,3.0,Brazil
S. Mandanda,Olympique de Marseille,33,3.0,France
Cesc Fàbregas,Chelsea,31,4.0,Spain
M. Dembélé,Tottenham Hotspur,30,3.0,Belgium
F. Ribéry,FC Bayern München,35,4.0,France
R. Jarstein,Hertha BSC,33,2.0,Norway
D. De Rossi,Roma,34,3.0,Italy
Pepe Reina,Milan,35,3.0,Spain
J. Pavlenka,SV Werder Bremen,26,1.0,Czech Republic
M. de Ligt,Ajax,18,2.0,Netherlands
Rodri,Atlético Madrid,22,1.0,Spain
Arthur,FC Barcelona,21,1.0,Brazil
G. Donnarumma,Milan,19,3.0,Italy
Rosberto Dourado,Atlético Mineiro,30,1.0,Brazil
Juiano Mestres,Cruzeiro,34,1.0,Brazil
Raphaelito Anjos,Grêmio,30,1.0,Brazil
Gelson Martins,Atlético Madrid,23,3.0,Portugal
Gonçalo Guedes,Valencia CF,21,1.0,Portugal
L. Torreira,Arsenal,22,2.0,Uruguay
Malcom,FC Barcelona,21,2.0,Brazil
Pau López,Real Betis,23,1.0,Spain
L. Hernández,Atlético Madrid,22,1.0,France
C. Lenglet,FC Barcelona,23,1.0,France
A. Kramarić,TSG 1899 Hoffenheim,27,2.0,Croatia
A. Robertson,Liverpool,24,1.0,Scotland
Dani García,Athletic Club de Bilbao,28,2.0,Spain
F. Bernardeschi,Juventus,24,2.0,Italy
J. Brandt,Bayer 04 Leverkusen,22,2.0,Germany
D. Rugani,Juventus,23,2.0,Italy
Samu Castillejo,Milan,23,2.0,Spain
João Cancelo,Juventus,24,2.0,Portugal
A. Romagnoli,Milan,23,2.0,Italy
T. Partey,Atlético Madrid,25,1.0,Ghana
Fred,Manchester United,25,1.0,Brazil
J. Vardy,Leicester City,31,3.0,England
A. Belotti,Torino,24,3.0,Italy
E. Forsberg,RB Leipzig,26,2.0,Sweden
J. Lingard,Manchester United,25,2.0,England
F. Vázquez,Sevilla FC,29,2.0,Argentina
E. Višća,Medipol Başakşehir FK,28,2.0,Bosnia Herzegovina
A. Rüdiger,Chelsea,25,2.0,Germany
A. Florenzi,Roma,27,3.0,Italy
H. Maguire,Leicester City,25,1.0,England
T. Meunier,Paris Saint-Germain,26,2.0,Belgium
S. Sané,FC Schalke 04,27,2.0,Senegal
G. Kondogbia,Valencia CF,25,2.0,Central African Rep.
Rafinha,FC Barcelona,25,2.0,Brazil
Gabriel Paulista,Valencia CF,27,2.0,Brazil
Morata,Chelsea,25,3.0,Spain
J. Cillessen,FC Barcelona,29,3.0,Netherlands
W. Ben Yedder,Sevilla FC,27,2.0,France
C. Bakambu,Beijing Sinobo Guoan FC,27,2.0,DR Congo
Pablo Sarabia,Sevilla FC,26,2.0,Spain
W. Zaha,Crystal Palace,25,2.0,Ivory Coast
Luis Alberto,Lazio,25,2.0,Spain
Jonathan Viera,Beijing Sinobo Guoan FC,28,2.0,Spain
Bartra,Real Betis,27,3.0,Spain
S. Coates,Sporting CP,27,3.0,Uruguay
Willian José,Real Sociedad,26,2.0,Brazil
Mário Fernandes,PFC CSKA Moscow,27,2.0,Russia
Víctor Ruiz,Villarreal CF,29,2.0,Spain
T. Delaney,Borussia Dortmund,26,2.0,Denmark
K. Casteels,VfL Wolfsburg,26,2.0,Belgium
M. Götze,Borussia Dortmund,26,4.0,Germany
S. Mustafi,Arsenal,26,3.0,Germany
J. Pastore,Roma,29,3.0,Argentina
Pedro,Chelsea,30,3.0,Spain
G. Bonaventura,Milan,28,3.0,Italy
R. Bürki,Borussia Dortmund,27,3.0,Switzerland
Taison,Shakhtar Donetsk,30,2.0,Brazil
S. Nzonzi,Roma,29,2.0,France
Marlos,Shakhtar Donetsk,30,2.0,Ukraine
A. Ramsey,Arsenal,27,3.0,Wales
K. Trippier,Tottenham Hotspur,27,2.0,England
A. Kolarov,Roma,32,2.0,Serbia
G. Sigurðsson,Everton,28,3.0,Iceland
S. Giovinco,Toronto FC,31,2.0,Italy
M. Arnautović,West Ham United,29,3.0,Austria
N. Gaitán,Dalian YiFang FC,30,3.0,Argentina
J. Henderson,Liverpool,28,2.0,England
M. Kruse,SV Werder Bremen,30,2.0,Germany
M. Parolo,Lazio,33,2.0,Italy
L. Fejsa,SL Benfica,29,2.0,Serbia
A. Rami,Olympique de Marseille,32,3.0,France
V. Ćorluka,Lokomotiv Moscow,32,3.0,Croatia
G. Wijnaldum,Liverpool,27,3.0,Netherlands
F. Fazio,Roma,31,3.0,Argentina
O. Giroud,Chelsea,31,3.0,France
Marcano,Roma,31,3.0,Spain
A. Guardado,Real Betis,31,3.0,Mexico
E. Garay,Valencia CF,31,3.0,Argentina
Jardel,SL Benfica,32,2.0,Brazil
S. Sirigu,Torino,31,3.0,Italy
E. Viviano,Sporting CP,32,2.0,Italy
L. Koscielny,Arsenal,32,3.0,France
A. Consigli,Sassuolo,31,2.0,Italy
L. Biglia,Milan,32,3.0,Argentina
Dani Alves,Paris Saint-Germain,35,4.0,Brazil
David Villa,New York City FC,36,3.0,Spain
Aduriz,Athletic Club de Bilbao,37,3.0,Spain
P. Čech,Arsenal,36,4.0,Czech Republic
Casillas,FC Porto,37,4.0,Spain
M. Rashford,Manchester United,20,2.0,England
Laure Santeiro,Fluminense,30,1.0,Brazil
L. Bailey,Bayer 04 Leverkusen,20,1.0,Jamaica
M. Akanji,Borussia Dortmund,22,2.0,Switzerland
F. de Jong,Ajax,21,1.0,Netherlands
Nélson Semedo,FC Barcelona,24,2.0,Portugal
Pablo Fornals,Villarreal CF,22,1.0,Spain
Fabián,Napoli,22,1.0,Spain
E. Bailly,Manchester United,24,2.0,Ivory Coast
Dani Ceballos,Real Madrid,21,1.0,Spain
H. Lozano,PSV,22,3.0,Mexico
Morales,Levante UD,30,1.0,Spain
J. Seri,Fulham,26,2.0,Ivory Coast
M. Politano,Inter,24,2.0,Italy
M. Brozović,Inter,25,2.0,Croatia
Williams,Athletic Club de Bilbao,24,2.0,Spain
A. Correa,Atlético Madrid,23,1.0,Argentina
A. Christensen,Chelsea,22,2.0,Denmark
João Mário,Inter,25,3.0,Portugal
T. Strakosha,Lazio,23,1.0,Albania
E. Hysaj,Napoli,24,2.0,Albania
P. Zieliński,Napoli,24,3.0,Poland
Ricardo Pereira,Leicester City,24,3.0,Portugal
Grimaldo,SL Benfica,22,3.0,Spain
R. Guerreiro,Borussia Dortmund,24,3.0,Portugal
A. Doucouré,Watford,25,2.0,France
J. Martínez,Atlanta United,25,1.0,Venezuela
C. Bacca,Villarreal CF,31,3.0,Colombia
A. Plea,Borussia Mönchengladbach,25,2.0,France
B. Davies,Tottenham Hotspur,25,2.0,Wales
M. Nastasić,FC Schalke 04,25,2.0,Serbia
A. Milik,Napoli,24,3.0,Poland
M. Sabitzer,RB Leipzig,24,2.0,Austria
B. Mendy,Manchester City,23,2.0,France
C. Kramer,Borussia Mönchengladbach,27,2.0,Germany
S. Vrsaljko,Inter,26,2.0,Croatia
T. Hazard,Borussia Mönchengladbach,25,2.0,Belgium
K. Bellarabi,Bayer 04 Leverkusen,28,3.0,Germany
S. Zaza,Torino,27,2.0,Italy
F. Ghoulam,Napoli,27,2.0,Algeria
B. Lecomte,Montpellier HSC,27,2.0,France
J. Iličić,Atalanta,30,3.0,Slovenia
K. Volland,Bayer 04 Leverkusen,25,2.0,Germany
Paco Alcácer,Borussia Dortmund,24,2.0,Spain
Vitolo,Atlético Madrid,28,2.0,Spain
G. Xhaka,Arsenal,25,3.0,Switzerland
D. Tadić,Ajax,29,3.0,Serbia
C. Aránguiz,Bayer 04 Leverkusen,29,2.0,Chile
S. Verdi,Napoli,25,2.0,Italy
D. Lovren,Liverpool,28,2.0,Croatia
G. Medel,Beşiktaş JK,30,3.0,Chile
X. Shaqiri,Liverpool,26,3.0,Switzerland
J. Corona,FC Porto,25,3.0,Mexico
A. Areola,Paris Saint-Germain,25,2.0,France
K. Vogt,TSG 1899 Hoffenheim,26,2.0,Germany
Ander Herrera,Manchester United,28,3.0,Spain
E. Salvio,SL Benfica,27,2.0,Argentina
S. El Shaarawy,Roma,25,3.0,Italy
C. Smalling,Manchester United,28,3.0,England
Hulk,Shanghai SIPG FC,31,4.0,Brazil
S. Kagawa,Borussia Dortmund,29,3.0,Japan
M. Lanzini,West Ham United,25,2.0,Argentina
F. Smolov,Lokomotiv Moscow,28,1.0,Russia
L. Stindl,Borussia Mönchengladbach,29,2.0,Germany
O. Toprak,Borussia Dortmund,28,3.0,Turkey
D. Perotti,Roma,29,3.0,Argentina
F. Muslera,Galatasaray SK,32,3.0,Uruguay
B. Höwedes,Lokomotiv Moscow,30,3.0,Germany
S. Kjær,Sevilla FC,29,3.0,Denmark
S. Bender,Bayer 04 Leverkusen,29,2.0,Germany
M. Valbuena,Fenerbahçe SK,33,3.0,France
Pedro León,SD Eibar,31,2.0,Spain
K. Boateng,Sassuolo,31,3.0,Ghana
L. Piszczek,Borussia Dortmund,33,3.0,Poland
A. Candreva,Inter,31,3.0,Italy
D. Wass,Valencia CF,29,2.0,Denmark
E. Lamela,Tottenham Hotspur,26,2.0,Argentina
D. Rose,Tottenham Hotspur,27,3.0,England
C. Vela,Los Angeles FC,29,3.0,Mexico
Renato Augusto,Beijing Sinobo Guoan FC,30,2.0,Brazil
A. Valencia,Manchester United,32,2.0,Ecuador
L. Fabiański,West Ham United,33,2.0,Poland
João Moutinho,Wolverhampton Wanderers,31,3.0,Portugal
Borja Valero,Inter,33,3.0,Spain
F. Quagliarella,Sampdoria,35,2.0,Italy
B. Gomis,Al Hilal,32,3.0,France
Manuel Fernandes,Lokomotiv Moscow,32,2.0,Portugal
H. Herrera,FC Porto,28,3.0,Mexico
Raffael,Borussia Mönchengladbach,33,2.0,Brazil
Nani,Sporting CP,31,3.0,Portugal
J. Milner,Liverpool,32,2.0,England
J. Mathieu,Sporting CP,34,3.0,France
Joaquín,Real Betis,36,2.0,Spain
M. Gómez,RC Celta,21,1.0,Uruguay
K. Havertz,Bayer 04 Leverkusen,19,1.0,Germany
T. Ndombele,Olympique Lyonnais,21,1.0,France
H. Aouar,Olympique Lyonnais,20,1.0,France
Carlos Soler,Valencia CF,21,1.0,Spain
Odriozola,Real Madrid,22,1.0,Spain
M. Almirón,Atlanta United,24,1.0,Paraguay
Welington Dano,Cruzeiro,30,1.0,Brazil
Everton Andrão,Fluminense,34,1.0,Brazil
Oyarzabal,Real Sociedad,21,1.0,Spain
F. Balbuena,West Ham United,26,1.0,Paraguay
M. Marega,FC Porto,27,2.0,Mali
B. Pavard,VfB Stuttgart,22,1.0,France
W. Ndidi,Leicester City,21,1.0,Nigeria
A. Onana,Ajax,22,2.0,Cameroon
G. Lo Celso,Real Betis,22,1.0,Argentina
M. Acuña,Sporting CP,26,2.0,Argentina
Rúben Neves,Wolverhampton Wanderers,21,2.0,Portugal
Mariano,Real Madrid,24,1.0,Dominican Republic
Raúl,SC Braga,28,1.0,Brazil
M. Caldara,Milan,24,2.0,Italy
M. Vecino,Inter,26,2.0,Uruguay
T. Bakayoko,Milan,23,2.0,France
M. Dahoud,Borussia Dortmund,22,2.0,Germany
Rafa,SL Benfica,25,2.0,Portugal
K. Baldé,Inter,23,2.0,Senegal
G. Rulli,Real Sociedad,26,3.0,Argentina
F. Armani,River Plate,31,1.0,Argentina
Rony Lopes,AS Monaco,22,2.0,Portugal
Santi Mina,Valencia CF,22,1.0,Spain
K. Demirbay,TSG 1899 Hoffenheim,24,2.0,Germany
Gayà,Valencia CF,23,2.0,Spain
André Gomes,Everton,24,3.0,Portugal
N. Tagliafico,Ajax,25,2.0,Argentina
M. Sanson,Olympique de Marseille,23,2.0,France
Pacheco,Deportivo Alavés,26,1.0,Spain
E. Can,Juventus,24,2.0,Germany
H. Çalhanoğlu,Milan,24,3.0,Turkey
M. Ginter,Borussia Mönchengladbach,24,2.0,Germany
M. Keane,Everton,25,2.0,England
T. Stepanenko,Shakhtar Donetsk,28,1.0,Ukraine
L. Shaw,Manchester United,22,2.0,England
Z. Feddal,Real Betis,28,1.0,Morocco
S. Haller,Eintracht Frankfurt,24,1.0,France
Bernard,Everton,25,2.0,Brazil
T. Inui,Real Betis,30,1.0,Japan
Portu,Girona FC,26,1.0,Spain
M. Batshuayi,Valencia CF,24,2.0,Belgium
E. Zahavi,Guangzhou R&F; FC,30,1.0,Israel
T. Vaclík,Sevilla FC,29,1.0,Czech Republic
N. Pope,Burnley,26,1.0,England
Héctor Bellerín,Arsenal,23,3.0,Spain
P. Kadeřábek,TSG 1899 Hoffenheim,26,2.0,Czech Republic
J. Butland,Stoke City,25,2.0,England
J. Vestergaard,Southampton,25,2.0,Denmark
J. Tarkowski,Burnley,25,1.0,England
Deulofeu,Watford,24,3.0,Spain
E. Dier,Tottenham Hotspur,24,2.0,England
J. Murillo,Valencia CF,26,2.0,Colombia
M. Badelj,Lazio,29,2.0,Croatia
Ismaily,Shakhtar Donetsk,28,1.0,Brazil
N. Schulz,TSG 1899 Hoffenheim,25,1.0,Germany
L. Digne,Everton,24,2.0,France
M. Uth,FC Schalke 04,26,1.0,Germany
Cristian Tello,Real Betis,26,2.0,Spain
D. Vida,Beşiktaş JK,29,3.0,Croatia
L. Muriel,Sevilla FC,27,2.0,Colombia
V. Aboubakar,FC Porto,26,3.0,Cameroon
A. Oxlade-Chamberlain,Liverpool,24,2.0,England
S. Aurier,Tottenham Hotspur,25,2.0,Ivory Coast
J. Matip,Liverpool,26,2.0,Cameroon
Y. Rakitskyi,Shakhtar Donetsk,28,2.0,Ukraine
Sergi Enrich,SD Eibar,28,2.0,Spain
A. Yarmolenko,West Ham United,28,3.0,Ukraine
Hugo Mallo,RC Celta,27,2.0,Spain
André Almeida,SL Benfica,27,2.0,Portugal
D. Didavi,VfB Stuttgart,28,2.0,Germany
R. Rodríguez,Milan,25,3.0,Switzerland
R. Pereyra,Watford,27,2.0,Argentina
Mario Gaspar,Villarreal CF,27,2.0,Spain
Maicon,Galatasaray SK,29,2.0,Brazil
