Club,SquadSize,Age,Overall,Potential,Value,Wage,Crossing,Finishing,ShortPassing,LongPassing,Dribbling,BallControl,Acceleration,SprintSpeed,Stamina,Strength,Aggression,Interceptions,Positioning,Vision,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,is_LeftFoot,International Reputation,Skill Moves,Weak Foot,Attack_Work_Intensity,Defense_Work_Intensity,NationalityDiversity
1. FC Heidenheim 1846,28,-0.7505399856847956,-0.08099992393427047,0.1720046016256286,-0.3784744792442367,-0.3066097222099472,-0.04642626084840711,-0.001341526660463407,-0.11972424364943614,-0.7818119809634636,-0.2369435335934847,-0.31387456117801205,-0.19919236143732152,-0.0014455595898198975,-0.4104923411709664,0.3310005012442584,-0.6159087685072296,-0.2591541714897426,-0.6232156500692936,-1.0389652414362,-0.4548234476061683,-0.6791329477886813,-0.24548307791606105,-0.3462756635429949,0.596077963602636,0.7325043632527269,-0.4919609482380983,-0.16136868565278975,0.10629609206809114,-0.9143208514652018,-0.7104029514707031,-1.459057125370132
1. FC Kaiserslautern,26,-0.8521221364864557,-0.6161722265896623,-0.2893044058019737,-0.47821623213251985,-0.4790080959266395,-0.36082080025877505,-1.0268804242758798,-0.5242547229361167,-0.8481679588357657,-1.2046406273603085,-1.046737339163472,-0.8145071474358545,0.0033378167381785573,-0.1741140922436011,0.4620883902247394,-0.3343209419991056,-0.8608636002956804,-0.9481839831070336,-0.8840942215236575,-1.1188647468911037,-1.0766634729600684,-0.885203221196151,-0.42352334207556197,-0.4269340206114571,1.0296651306315485,-0.4919609482380983,-0.5860085848130274,1.1898397021399563,0.7719139024860581,-0.7104029514707031,-0.46575392158874024
1. FC Köln,28,-0.5383058491884682,1.0583390200463745,1.2198704921533803,0.6976278709235495,0.24202375450392705,0.6091330460805385,0.15894425578154917,1.0932766387663926,0.44724166228191287,0.5794387488488599,0.8513245318780086,-0.1357075025644564,-0.15068690102338259,0.11330036952035528,0.4084615265509072,1.2435971746523415,0.8425673178732432,0.31166193432737793,0.6833698901693085,0.6320819236205054,1.2065576502380397,1.2852501942199115,0.9894341953551005,1.5383258437998266,-0.23326813072844174,0.9789903502060066,0.34047846790021596,0.5145878871676336,-0.3137440897839325,0.19642383075136446,-0.21742812064339223
1. FC Magdeburg,26,-0.29342030707732275,-0.11145688424799248,-0.18513785573767838,-0.43193373779626965,-0.28046804611613757,-0.718172217331155,-0.1739569846749392,-0.3010247650231743,-1.1687906483780377,-0.8613414111537835,-0.26759465753224676,-0.5957285568585969,-0.14399017416418278,0.11419574167538406,1.782898180709852,-0.2086006367699672,-0.3954025686949877,-1.423085513642354,-1.2313440864838137,-1.1413746214431348,-0.09952737292047359,-0.3122552140833446,-0.19253028393933885,-0.716856445287516,-1.0504602410201997,-0.3159496817576067,-1.1264593655624204,2.0692374146620502,-0.5216360457505257,0.9172348627740343,-0.46575392158874024
1. FC Nürnberg,29,-0.8871504643490982,0.6153092032380532,0.8496430740677129,0.09270747169352539,0.07842175725963894,0.2859582153339573,0.012313651559748038,0.6212599269926212,-0.11819145523598563,0.6397625628224315,0.7683398770649135,0.05824968695746449,0.23056468671924893,0.10727976365033938,0.016704616954074325,-0.013517404517852692,0.18650239914117378,-0.10711699661413672,0.3305501757591726,0.2094765858690204,0.08945397176484422,0.7216854424305745,0.6014630961433212,0.19689905869151045,0.5992943640829108,-0.17635453937652823,0.9173142765818357,0.5075483734590206,-1.2353187758120876,0.7488585371625093,0.5275492821926517
1. FC Union Berlin,28,0.07481498957869576,0.5007901751196747,0.4944248756341683,-0.160167237112338,0.26423563615226203,0.1882801576817093,0.5926587259187627,0.41768121058542435,-0.14056660187891934,0.2839861132982962,0.35630530933786964,-0.3261620791830493,0.3592210155412854,0.6603727562424018,1.24762263403957,1.0518095661650302,0.07136227531915365,0.18818753638819488,0.4946208346508956,0.07469455376067315,-0.22151765621734232,-0.329486733094256,-0.16103123055712723,-0.07695623653821405,-0.7161543777190259,-0.3285219150776417,0.6750432369355552,0.9228796822671785,-0.0134557089432941,-0.4081273573966819,0.27922348124730373
1. FSV Mainz 05,32,-0.9568787295006684,1.0714696993652988,1.3800730658013738,0.5502431878759312,0.38362450001206255,0.6202613676487775,0.17190854700847752,0.651836444216328,0.655264716806363,0.9886017737396062,0.5571688784839645,1.5450541360946284,1.5686977200757792,-0.12240635029073958,1.0329910430857387,0.32739441454176743,0.6741310517110172,0.07463518828340997,0.009968311887473944,0.24016892918781083,0.06350566116221894,0.344875943197355,0.11196056542204538,2.6824839840392722,-0.5954328159713799,0.22308482183889722,0.38229906402963415,1.5608356121102156,-0.5014243278093282,0.6120527726031447,1.5208524859740435
AC Ajaccio,23,1.259019954087184,-0.24085167216467276,-0.3123267230263302,-0.42742352986843246,-0.39767843696812066,0.29173396135165636,0.1765715924695456,0.16233017177196635,0.480432416892914,0.03822631233118141,-0.03474332064199996,-0.8174796826339144,-0.040918812940003144,0.6330444409019891,-0.3436962554121786,0.21541256658048613,-0.14898202255344387,0.1709317975457622,0.07369676337704714,0.06469793245340379,-0.8468794827050102,-0.28647036860687136,-0.7900992821613068,-1.5740183965036896,-0.1912780222944778,-0.29299169047754314,0.16592293622960538,0.31044198961786235,0.012656324173282501,-0.3424152717284134,-0.9624055234794362
AC Horsens,25,-0.09025600547400252,-1.237146137443139,-1.211178373871006,-0.5577216476918493,-0.447433051860391,-0.9130594779589207,-0.2811816456533438,-0.944257754861207,-0.5775295244836729,-1.0847370962364682,-0.9325724325497179,-2.0905332769776983,-1.6445927287733377,-0.9477872639601101,1.0343466110286037,-0.4054427146715912,-0.6615367585278534,-0.9573020924933127,-1.356692818225527,-1.0498344649315392,0.004134022040248586,-0.7573453501351886,-0.6305771196413038,0.1761046227147455,1.1960751603636883,-0.4919609482380983,-1.6669101463118132,-0.6041316314051168,0.20275192526196434,0.3052430446180129,-0.7140797225340882
AD Alcorcón,29,1.1620067156154334,0.29543610280034543,-0.13095927653756703,-0.38371435958857736,-0.316183809127333,0.6375992228820523,-0.2425830085508775,0.1394481404372279,-0.022373180200365075,-0.21603127808264663,0.18009422269360822,-1.2167014098548163,-1.6546793849529862,0.19718747797590166,-0.4445001084349176,0.3970863509842131,0.6201773832829952,0.06319251778473482,0.03440941623890554,0.014391006418078911,0.5998500995816276,0.18998414605365505,0.3378848103703271,-0.4269340206114571,0.5992943640829108,-0.4919609482380983,-0.05176988200328419,0.7046547573001815,-0.3655179485495567,-0.1266983560174174,-0.9624055234794362
