Club,SquadSize,Age,Overall,Potential,Value,Wage,Crossing,Finishing,ShortPassing,LongPassing,Dribbling,BallControl,Acceleration,SprintSpeed,Stamina,Strength,Aggression,Interceptions,Positioning,Vision,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,is_LeftFoot,International Reputation,Skill Moves,Weak Foot,Attack_Work_Intensity,Defense_Work_Intensity,NationalityDiversity,WorkRate_Balance,Age_closeness,NationalityDiversity_norm,WorkRate_Balance_norm,International Reputation_norm,Age_closeness_norm,Chemistry_Index_100
1. FC Heidenheim 1846,28,-0.7505399856847956,-0.0809999239342704,0.1720046016256286,-0.3784744792442367,-0.3066097222099472,-0.0464262608484071,-0.0013415266604634,-0.1197242436494361,-0.7818119809634636,-0.2369435335934847,-0.313874561178012,-0.1991923614373215,-0.0014455595898198,-0.4104923411709664,0.3310005012442584,-0.6159087685072296,-0.2591541714897426,-0.6232156500692936,-1.0389652414362,-0.4548234476061683,-0.6791329477886813,-0.245483077916061,-0.3462756635429949,0.596077963602636,0.7325043632527269,-0.4919609482380983,-0.1613686856527897,0.1062960920680911,-0.9143208514652018,-0.7104029514707031,-1.459057125370132,0.8306214236075148,-26.229602187752345,0.04999999999999999,0.7888705955635461,0.0,0.3298497713912476,29.21800917386984
1. FC Kaiserslautern,26,-0.8521221364864557,-0.6161722265896623,-0.2893044058019737,-0.4782162321325198,-0.4790080959266395,-0.360820800258775,-1.0268804242758798,-0.5242547229361167,-0.8481679588357657,-1.2046406273603083,-1.046737339163472,-0.8145071474358545,0.0033378167381785,-0.1741140922436011,0.4620883902247394,-0.3343209419991056,-0.8608636002956804,-0.9481839831070336,-0.8840942215236575,-1.1188647468911035,-1.0766634729600684,-0.885203221196151,-0.4235233420755619,-0.4269340206114571,1.0296651306315483,-0.4919609482380983,-0.5860085848130274,1.1898397021399565,0.7719139024860581,-0.7104029514707031,-0.4657539215887402,0.4028494583219789,-26.331106288484243,0.25,0.24506183600808007,0.0,0.3162839772898556,20.28364533244839
1. FC Köln,28,-0.5383058491884682,1.0583390200463745,1.2198704921533805,0.6976278709235495,0.242023754503927,0.6091330460805385,0.1589442557815491,1.0932766387663926,0.4472416622819128,0.5794387488488599,0.8513245318780086,-0.1357075025644564,-0.1506869010233825,0.1133003695203552,0.4084615265509072,1.2435971746523415,0.8425673178732432,0.3116619343273779,0.6833698901693085,0.6320819236205054,1.2065576502380395,1.2852501942199115,0.9894341953551004,1.5383258437998266,-0.2332681307284417,0.9789903502060066,0.3404784679002159,0.5145878871676336,-0.3137440897839325,0.1964238307513644,-0.2174281206433922,0.662178017690601,-26.01753112015178,0.3,0.5747354790515712,0.2114661654135338,0.35819259121022684,36.10985589188329
1. FC Magdeburg,26,-0.2934203070773227,-0.1114568842479924,-0.1851378557376783,-0.4319337377962696,-0.2804680461161375,-0.718172217331155,-0.1739569846749392,-0.3010247650231743,-1.1687906483780377,-0.8613414111537835,-0.2675946575322467,-0.5957285568585969,-0.1439901741641827,0.114195741675384,1.782898180709852,-0.2086006367699672,-0.3954025686949877,-1.423085513642354,-1.2313440864838137,-1.1413746214431348,-0.0995273729204735,-0.3122552140833446,-0.1925302839393388,-0.716856445287516,-1.0504602410201995,-0.3159496817576067,-1.1264593655624204,2.0692374146620502,-0.5216360457505257,0.9172348627740344,-0.4657539215887402,0.41002580190067067,-25.772833734458818,0.25,0.25418482399320264,0.025303643724696408,0.3908958448475106,23.00960781413524
1. FC Nürnberg,29,-0.8871504643490982,0.6153092032380532,0.8496430740677129,0.0927074716935253,0.0784217572596389,0.2859582153339573,0.012313651559748,0.6212599269926212,-0.1181914552359856,0.6397625628224315,0.7683398770649135,0.0582496869574644,0.2305646867192489,0.1072797636503393,0.0167046169540743,-0.0135174045178526,0.1865023991411737,-0.1071169966141367,0.3305501757591726,0.2094765858690204,0.0894539717648442,0.7216854424305745,0.6014630961433212,0.1968990586915104,0.5992943640829108,-0.1763545393765282,0.9173142765818356,0.5075483734590206,-1.2353187758120876,0.7488585371625093,0.5275492821926517,0.33510073133127954,-26.36610770252972,0.44999999999999996,0.15893568895755517,0.04537205081669686,0.3116061172548932,24.147846425728627
1. FC Union Berlin,28,0.0748149895786957,0.5007901751196747,0.4944248756341683,-0.160167237112338,0.264235636152262,0.1882801576817093,0.5926587259187627,0.4176812105854243,-0.1405666018789193,0.2839861132982962,0.3563053093378696,-0.3261620791830493,0.3592210155412854,0.6603727562424018,1.24762263403957,1.0518095661650302,0.0713622753191536,0.1881875363881948,0.4946208346508956,0.0746945537606731,-0.2215176562173423,-0.329486733094256,-0.1610312305571272,-0.076956236538214,-0.7161543777190259,-0.3285219150776417,0.6750432369355552,0.9228796822671784,-0.0134557089432941,-0.4081273573966819,0.2792234812473037,0.7170146472174607,-25.404881369305702,0.39999999999999997,0.6444470120672962,0.023496240601503814,0.4400718484650552,37.70037752834638
1. FSV Mainz 05,32,-0.9568787295006684,1.0714696993652988,1.3800730658013738,0.5502431878759312,0.3836245000120625,0.6202613676487775,0.1719085470084775,0.651836444216328,0.655264716806363,0.9886017737396062,0.5571688784839645,1.5450541360946284,1.5686977200757792,-0.1224063502907395,1.0329910430857387,0.3273944145417674,0.6741310517110172,0.0746351882834099,0.0099683118874739,0.2401689291878108,0.0635056611622189,0.344875943197355,0.1119605654220453,2.682483984039272,-0.5954328159713799,0.2230848218388972,0.3822990640296341,1.5608356121102156,-0.5014243278093282,0.6120527726031447,1.5208524859740435,0.4731539318807082,-26.435782392364008,0.6499999999999999,0.3344369976824849,0.10279605263157893,0.30229425212279537,34.73818256092148
AC Ajaccio,23,1.259019954087184,-0.2408516721646727,-0.3123267230263302,-0.4274235298684324,-0.3976784369681206,0.2917339613516563,0.1765715924695456,0.1623301717719663,0.480432416892914,0.0382263123311814,-0.0347433206419999,-0.8174796826339144,-0.0409188129400031,0.6330444409019891,-0.3436962554121786,0.2154125665804861,-0.1489820225534438,0.1709317975457622,0.0736967633770471,0.0646979324534037,-0.8468794827050102,-0.2864703686068713,-0.7900992821613068,-1.5740183965036896,-0.1912780222944778,-0.2929916904775431,0.1659229362296053,0.3104419896178623,0.0126563241732825,-0.3424152717284134,-0.9624055234794362,0.737968387075944,-24.221586281969206,0.15,0.6710846325875744,0.028604118993134996,0.598216567744867,36.197632983139414
AC Horsens,25,-0.0902560054740025,-1.237146137443139,-1.211178373871006,-0.5577216476918493,-0.447433051860391,-0.9130594779589208,-0.2811816456533438,-0.944257754861207,-0.5775295244836729,-1.0847370962364682,-0.932572432549718,-2.0905332769776983,-1.6445927287733375,-0.94778726396011,1.0343466110286037,-0.4054427146715912,-0.6615367585278534,-0.9573020924933128,-1.356692818225527,-1.0498344649315392,0.0041340220402485,-0.7573453501351886,-0.6305771196413038,0.1761046227147455,1.1960751603636883,-0.4919609482380983,-1.6669101463118132,-0.6041316314051168,0.2027519252619643,0.3052430446180129,-0.7140797225340882,0.9070367846446579,-25.56982553299503,0.19999999999999998,0.8860142750677741,0.0,0.4180274330502938,37.601042702951695
AD Alcorcón,29,1.1620067156154334,0.2954361028003454,-0.130959276537567,-0.3837143595885773,-0.316183809127333,0.6375992228820523,-0.2425830085508775,0.1394481404372279,-0.022373180200365,-0.2160312780826466,0.1800942226936082,-1.2167014098548163,-1.6546793849529862,0.1971874779759016,-0.4445001084349176,0.3970863509842131,0.6201773832829952,0.0631925177847348,0.0344094162389055,0.0143910064180789,0.5998500995816276,0.189984146053655,0.3378848103703271,-0.4269340206114571,0.5992943640829108,-0.4919609482380983,-0.0517698820032841,0.7046547573001815,-0.3655179485495567,-0.1266983560174174,-0.9624055234794362,0.8072200391632541,-24.318524980869082,0.15,0.759121385986384,0.0,0.5852609293002091,37.35955788216483
